"location_id","location_name","co","no2","o3","pm10","pm25","so2","datetimeUtc","datetimeLocal","timezone","latitude","longitude","country_iso","isMobile","isMonitor","owner_name","provider"
"2161312","Xuân Tảo","343","40.8","","10.8","22.3","","2025-02-01T01:00:00Z","2025-02-01T08:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","348.3","45.7","","33.7","25.3","","2025-02-01T02:00:00Z","2025-02-01T09:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","451.5","53.1","","32.2","24.2","","2025-02-01T03:00:00Z","2025-02-01T10:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","323.2","51.1","","27","20.4","","2025-02-01T04:00:00Z","2025-02-01T11:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","329.8","54.8","","27.1","20.5","","2025-02-01T05:00:00Z","2025-02-01T12:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","275","54.4","","28.3","21.3","","2025-02-01T06:00:00Z","2025-02-01T13:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","271.2","56.4","","23.7","17.9","","2025-02-01T07:00:00Z","2025-02-01T14:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","324.9","50.3","","20.8","15.7","","2025-02-01T08:00:00Z","2025-02-01T15:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","396.9","48.4","","19.7","14.9","","2025-02-01T09:00:00Z","2025-02-01T16:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","424.7","53.1","","19.6","14.9","","2025-02-01T10:00:00Z","2025-02-01T17:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","424.4","59.9","","20.4","15.5","","2025-02-01T11:00:00Z","2025-02-01T18:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","334.8","56.1","","20.2","15.3","","2025-02-01T12:00:00Z","2025-02-01T19:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","218","50.6","","19.7","15","","2025-02-01T13:00:00Z","2025-02-01T20:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","216.8","49.1","","18.8","14.3","","2025-02-01T14:00:00Z","2025-02-01T21:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","208.8","52.1","","19.4","14.7","","2025-02-01T15:00:00Z","2025-02-01T22:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
"2161312","Xuân Tảo","149.6","49.1","","19.5","14.8","","2025-02-01T16:00:00Z","2025-02-01T23:00:00+07:00","Asia/Bangkok","21.2575","105.8514","","","","Unknown Governmental Organization","Hanoi Air Quality Monitoring Network"
